metric;timestamp;ts_join;type;rt1_value;rt2_value;rt3_value;rt4_value;rt5_value;rt6_value;rt7_value;rt8_value;rt9_value;rt10_value;Total
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509480888;50316029;mean;0,051311;0,05694;0,136721;0,06205;0,066735;0,074839;0,067004;0,052456;0,068597;0,079681;0,0716334
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509480918;50316030;mean;0,050481;0,056977;0,137115;0,063414;0,066669;0,074791;0,068523;0,04709;0,069917;0,075654;0,0710631
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509480948;50316031;mean;0,052366;0,054055;0,133743;0,059723;0,064863;0,067919;0,0674;0,047735;0,074219;0,076986;0,0699009
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509480978;50316032;mean;0,056931;0,054947;0,14281;0,054783;0,068079;0,067371;0,06581;0,05111;0,071605;0,075372;0,0708818
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509481008;50316033;mean;0,052459;0,056054;0,145008;0,05814;0,063227;0,071378;0,062117;0,04984;0,06785;0,072166;0,0698239
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509481038;50316034;mean;0,050824;0,053534;0,132318;0,061824;0,06774;0,077496;0,065137;0,051923;0,071352;0,071728;0,0703876
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509481068;50316035;mean;0,050849;0,053314;0,145988;0,061725;0,067646;0,078932;0,071817;0,049152;0,071963;0,076331;0,0727717
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509481098;50316036;mean;0,050552;0,053734;0,142283;0,059605;0,075229;0,076267;0,068816;0,04979;0,070843;0,077606;0,0724725
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509481128;50316037;mean;0,051148;0,055247;0,139797;0,064975;0,077349;0,072653;0,064268;0,05232;0,067259;0,079211;0,0724227
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509481158;50316038;mean;0,055896;0,057254;0,147607;0,058925;0,075281;0,078027;0,065828;0,050834;0,065287;0,082293;0,0737232
