t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1508097739,692827,43.388628,0.055187,0.017085,0.583271,0.042510,0.051012,0.073457,0.088148,0.152321,1.358102,173.490767,175.019180,174.148306,171.951074,calls/second,milliseconds
1508097769,698051,43.388628,0.056740,0.017085,0.652678,0.042510,0.051012,0.073457,0.088148,0.152321,1.131752,173.495860,174.344449,174.108213,172.011620,calls/second,milliseconds
1508097799,703243,43.388628,0.053968,0.017085,0.549838,0.042510,0.051012,0.073457,0.088148,0.152321,1.131752,173.492565,174.177899,174.105992,172.080637,calls/second,milliseconds
1508097829,708456,43.388628,0.058063,0.017085,0.653108,0.042510,0.051012,0.073457,0.088148,0.152321,1.131752,173.494488,173.966173,174.053295,172.128464,calls/second,milliseconds
1508097859,713752,43.388628,0.054285,0.017085,0.582541,0.042510,0.051012,0.073457,0.088148,0.152321,1.131752,173.515256,174.433684,174.158797,172.228013,calls/second,milliseconds
1508097889,718995,43.388628,0.058317,0.017085,0.680735,0.042510,0.051012,0.073457,0.088148,0.152321,1.131752,173.525875,175.250363,174.373976,172.365001,calls/second,milliseconds
1508097919,724168,43.388628,0.056947,0.017085,0.682206,0.042510,0.051012,0.073457,0.088148,0.152321,1.131752,173.518044,174.384895,174.246824,172.386962,calls/second,milliseconds
1508097949,729444,43.388628,0.057994,0.020502,0.681811,0.042510,0.051012,0.073457,0.088148,0.152321,1.358102,173.534655,174.261601,174.250202,172.450218,calls/second,milliseconds
1508097979,734669,43.388628,0.052418,0.017085,0.504488,0.042510,0.051012,0.073457,0.088148,0.152321,1.358102,173.539285,174.287106,174.270157,172.516970,calls/second,milliseconds
1508098009,739875,43.388628,0.051868,0.017085,0.504189,0.042510,0.051012,0.061214,0.088148,0.152321,1.131752,173.539373,174.265573,174.259168,172.570196,calls/second,milliseconds
1508098039,744973,43.388628,0.063308,0.017085,0.825235,0.042510,0.051012,0.073457,0.088148,0.152321,1.358102,173.513986,172.999193,173.947528,172.517822,calls/second,milliseconds
1508098069,750225,43.388628,0.065103,0.017085,0.896415,0.042510,0.051012,0.073457,0.088148,0.152321,1.358102,173.523008,173.265730,173.875297,172.537146,calls/second,milliseconds
1508098099,755406,43.388628,0.062149,0.017085,0.770596,0.042510,0.051012,0.073457,0.088148,0.152321,1.358102,173.519175,173.509940,173.869985,172.578764,calls/second,milliseconds
1508098129,760636,43.388628,0.057585,0.017085,0.683806,0.042510,0.051012,0.073457,0.088148,0.152321,1.358102,173.524586,174.242935,173.997574,172.664092,calls/second,milliseconds
1508098159,765792,43.388628,0.055818,0.017085,0.586295,0.042510,0.051012,0.073457,0.088148,0.152321,1.358102,173.513467,172.306181,173.549055,172.552917,calls/second,milliseconds
1508098189,770720,43.388628,0.055521,0.017085,0.623273,0.042510,0.051012,0.073457,0.088148,0.152321,1.358102,173.451060,172.611601,173.551862,172.589200,calls/second,milliseconds
1508098219,774953,43.388628,0.058786,0.017085,0.734055,0.042510,0.051012,0.073457,0.088148,0.126934,1.131752,173.234023,158.555320,169.691612,171.270006,calls/second,milliseconds
1508098249,780769,43.388628,0.057064,0.017085,0.620945,0.042510,0.051012,0.073457,0.088148,0.152321,1.358102,173.371391,172.362839,171.927438,171.985900,calls/second,milliseconds
1508098279,786655,43.388628,0.052050,0.017085,0.497642,0.042510,0.051012,0.073457,0.088148,0.152321,1.131752,173.522461,182.115881,174.293874,172.797168,calls/second,milliseconds
