metric_join	timestamp	ts_join	rt1_value	rt2_value	rt3_value	rt4_value	rt5_value	rt6_value	rt7_value	rt8_value	rt9_value	rt10_value
iostat.sda.write_byte_per_second	1511275666	50375855	1289664.248	NULL	NULL	2489338.783	NULL	3861691.116	NULL	1259128.862	NULL	NULL
iostat.sda.write_byte_per_second	1511275696	50375856	2550363.929	NULL	NULL	6130770.118	NULL	1715745.240	NULL	3829190.715	NULL	NULL
iostat.sda.write_byte_per_second	1511275726	50375857	3933249.020	NULL	NULL	5038082.002	NULL	3581258.347	NULL	2653925.073	NULL	NULL
iostat.sda.write_byte_per_second	1511275756	50375858	2939521.374	NULL	NULL	3557375.293	NULL	2959564.705	NULL	1802566.955	NULL	NULL
iostat.sda.write_byte_per_second	1511275786	50375859	3600695.203	NULL	NULL	3061962.546	NULL	3585756.540	NULL	3914240.072	NULL	NULL
iostat.sda.write_byte_per_second	1511275816	50375860	9023539.882	NULL	NULL	1308975.526	NULL	1175824.917	NULL	2499101.127	NULL	NULL
iostat.sda.write_byte_per_second	1511275846	50375861	4377435.364	NULL	NULL	4013792.879	NULL	2992156.434	NULL	3917446.280	NULL	NULL
iostat.sda.write_byte_per_second	1511275876	50375862	3966032.915	NULL	NULL	3077788.332	NULL	4054299.927	NULL	7776257.545	NULL	NULL
iostat.sda.write_byte_per_second	1511275906	50375863	2502835.322	NULL	NULL	3432130.703	NULL	2991741.887	NULL	5537792.929	NULL	NULL
iostat.sda.write_byte_per_second	1511275936	50375864	1619083.872	NULL	NULL	1244231.459	NULL	1332958.467	NULL	3892012.323	NULL	NULL
iostat.sda.write_byte_per_second	1511275966	50375865	3956243.904	NULL	NULL	3087973.271	NULL	3974073.333	NULL	2971406.542	NULL	NULL
iostat.sda.write_byte_per_second	1511275996	50375866	2695863.910	NULL	NULL	3932981.169	NULL	8638875.660	NULL	1416534.515	NULL	NULL
iostat.sda.write_byte_per_second	1511276026	50375867	3763245.590	NULL	NULL	7127040.680	NULL	6280606.718	NULL	3745677.011	NULL	NULL
iostat.sda.write_byte_per_second	1511276056	50375868	1362650.208	NULL	NULL	5843344.637	NULL	1371861.203	NULL	2561642.151	NULL	NULL
iostat.sda.write_byte_per_second	1511276086	50375869	2598444.603	NULL	NULL	2987899.266	NULL	2583814.832	NULL	2314395.121	NULL	NULL
iostat.sda.write_byte_per_second	1511276116	50375870	3644227.229	NULL	NULL	1616145.657	NULL	1151249.561	NULL	2476327.739	NULL	NULL
